Артикул,Описание,Название товара,Размер,Фото по ссылке,Цена,Наличие,Отображать на сайте
1090,"=== РАЗМЕР 90 ===
длина 35,5 см
ширина 33 см
плечи 27 см
рукав от плеча 28 см
=== РАЗМЕР 100 ===
длина 39,5 см
ширина 35,5 см
плечи 29,5 см
рукав от плеча 32 см
=== РАЗМЕР 110 ===
длина 42 см
ширина 36,5 см
плечи 30,5 см
рукав от плеча 34,5 см
=== РАЗМЕР 120 ===
длина 45 см
ширина 38 см
плечи 31,5 см
рукав от плеча 38 см
ветровка
верх полиэстер
подклад нейлон
видео-обзор
https://drive.google.com/file/d/1XKAy9S47MLo-i85d-4ycQ7zQMGOr8Xob/view?usp=sharing",Ветровка Cats 1090,"90
 - 3 шт.      
100
 - 3 шт.      
110
 - 1 шт.      
120
 - 1 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/vitrivka-cats-1090-8734-1051x1051.jpg,300грн.,На складе,Да
1088,"=== РАЗМЕР 90 ===
длина 36 см
ширина 33,5 см
плечи 27,5 см
рукав от плеча 30 см
=== РАЗМЕР 100 ===
длина 38 см
ширина 35,5 см
плечи 29,5 см
рукав от плеча 33 см
=== РАЗМЕР 110 ===
длина 41 см
ширина 36 см
плечи 30 см
рукав от плеча 35 см
=== РАЗМЕР 120 ===
длина 45 см
ширина 39 см
плечи 32 см
рукав от плеча 38 см
ветровка
верх полиэстер
подклад нейлон
видео-обзор
https://drive.google.com/file/d/1XIuXPTtdAbEGC2IhfjaoHtSqdzQMToEq/view?usp=sharing",Ветровка Полоски 1088,"90
 - 3 шт.      
100
 - 3 шт.      
110
 - 1 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/vitrivka-poloski-1088-8732-1051x1051.jpg,300грн.,На складе,Да
1086,"=== РАЗМЕР 74 ===
длина 37 см
шаговый 20 см
бедра 25 см
=== РАЗМЕР 80 ===
длина 41,5 см
шаговый 22,5 см
бедра 25,5 см
=== РАЗМЕР 86 ===
длина 45 см
шаговый 27 см
бедра 26 см
=== РАЗМЕР 92 ===
длина 49,5 см
шаговый 29 см
бедра 28 см
джинсы
материал - джинс
производитель Турция
видео-обзор
https://drive.google.com/file/d/1Ua7bTRTYHjHH5uQaWMvohFFxTEtfOmf4/view?usp=sharing",Джинсы для мальчика 1086,"74
 - 1 шт.      
80
 - 1 шт.      
86
 - 1 шт.      
92
 - 1 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/dzhinsi-dlya-hlopchika-1086-8730-1051x1051.jpg,345грн.,На складе,Да
1085,"=== РАЗМЕР 68 ===
длина 33,5 см
шаговый 17,5 см
бедра 25,5 см
=== РАЗМЕР 74 ===
длина 34 см
шаговый 19,5 см
бедра 26,5 см
=== РАЗМЕР 80 ===
длина 37 см
шаговый 21 см
бедра 27 см
=== РАЗМЕР 86 ===
длина 39,5 см
шаговый 23 см
бедра 27 см
брюки
коттон
пояс-резинка
производитель Турция
видео-обзор
https://drive.google.com/file/d/1Uv-x7baqq6u9sM_Afu0kay34ihdsYlyX/view?usp=sharing",Штаны для мальчика зеленые Monster 1085,"68
 - 1 шт.      
74
 - 1 шт.      
80
 - 1 шт.      
86
 - 1 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/shtani-dlya-hlopchika-zeleni-monster-1085-8729-1051x1051.jpg,345грн.,На складе,Да
1080,"=== РАЗМЕР 90 ===
длина 36 см
ширина 33 см
плечи 27 см
рукав от плеча 30 см
=== РАЗМЕР 100 ===
длина 38,5 см
ширина 35 см
плечи 28,5 см
рукав от плеча 32 см
=== РАЗМЕР 110 ===
длина 41,5 см
ширина 37 см
плечи 30 см
рукав от плеча 34,5 см
=== РАЗМЕР 120 ===
длина 45 см
ширина 39 см
плечи 32,5 см
рукав от плеча 37 см
ветровка
верх полиэстер
подклад нейлон
видео-обзор
https://drive.google.com/file/d/1UyVuRCOgtEtuV5w0GW88s-RNgBZ1UWV7/view?usp=sharing",Ветровка для мальчика Cat 1080,"90
 - 4 шт.      
100
 - 4 шт.      
110
 - 2 шт.      
120
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/vitrivka-dlya-hlopchika-cat-1080-8724-1051x1051.jpg,300грн.,На складе,Да
1079,"=== РАЗМЕР 90 ===
длина 36 см
ширина 35 см
плечи 28,5 см
рукав от плеча 29,5 см
=== РАЗМЕР 100 ===
длина 39 см
ширина 36 см
плечи 30,5 см
рукав от плеча 33,5 см
=== РАЗМЕР 110 ===
длина 40 см
ширина 37 см
плечи 32 см
рукав от плеча 36 см
=== РАЗМЕР 120 ===
длина 44 см
ширина 40 см
плечи 34 см
рукав от плеча 39 см
ветровка
верх полиэстер
подклад сетка
видео-обзор
https://drive.google.com/file/d/1UCxem-rvFcFgtWyVSHIYWFIBcPYVIyI6/view?usp=sharing",Ветровка для мальчика 1079,"90
 - 1 шт.      
100
 - 4 шт.      
110
 - 5 шт.      
120
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/vitrivka-dlya-hlopchika-1079-8720-1051x1051.jpg,335грн.,На складе,Да
1078,"=== РАЗМЕР 90 ===
длина 36 см
ширина 34,5 см
плечи 28,5 см
рукав от плеча 30 см
=== РАЗМЕР 100 ===
длина 39 см
ширина 36 см
плечи 30 см
рукав от плеча 32,5 см
=== РАЗМЕР 110 ===
длина 42,5 см
ширина 38 см
плечи 32,5 см
рукав от плеча 36 см
=== РАЗМЕР 120 ===
длина 45 см
ширина 39 см
плечи 33,5 см
рукав от плеча 38 см
ветровка
верх полиэстер
подклад сетка
видео-обзор
https://drive.google.com/file/d/1UDhZjETLhNaMtgUnEx9TsOcYhU6e7Xzh/view?usp=sharing",Ветровка для мальчика Tractors 1078,"90
 - 3 шт.      
100
 - 5 шт.      
110
 - 5 шт.      
120
 - 5 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/vitrivka-dlya-hlopchika-tractors-1078-8719-1051x1051.jpg,335грн.,На складе,Да
1077,"=== РАЗМЕР 90 ===
длина (без лямок) 52 см
шаговый 23 см
бедра 32 см
=== РАЗМЕР 95 ===
длина (без лямок) 55 см
шаговый 25 см
бедра 33 см
=== РАЗМЕР 100 ===
длина (без лямок) 59 см
шаговый 28,5 см
бедра 33 см
Комбинезон
джинс
шлейки можно удлинять
видео-обзор
https://drive.google.com/file/d/1UM685ZEe2VY1GV7QPEVAlr8L_F7Z-IaZ/view?usp=sharing",Джинсовый комбинезон 1077,"90
 - 1 шт.      
95
 - 3 шт.      
100
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/dzhinsoviy-kombinezon-1077-8718-1051x1051.jpg,355грн.,На складе,Да
1075,"=== РАЗМЕР 80 ===
длина 67 см
шаговый 23 см
бедра 34 см
=== РАЗМЕР 90 ===
длина 69 см
шаговый 25 см
бедра 34,5 см
=== РАЗМЕР 95 ===
длина 73 см
шаговый 27 см
бедра 35 см
=== РАЗМЕР 100 ===
длина 75 см
шаговый 29 см
бедра 37 см
Комбинезон
джинс
шлейки можно удлинять
видео-обзор
https://drive.google.com/file/d/1UILsVeEzckQGwAztglgPcc_lZMS2vght/view?usp=sharing",Джинсовый комбинезон Sheep 1075,"80
 - 1 шт.      
95
 - 1 шт.      
100
 - 2 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/dzhinsoviy-kombinezon-sheep-1075-8716-1051x1051.jpg,355грн.,На складе,Да
1071,"=== РАЗМЕР 90 ===
длина 36,5 см
ширина 34 см
плечи 28,5 см
рукав от плеча 30 см
=== РАЗМЕР 100 ===
длина 39 см
ширина 35 см
плечи 30 см
рукав от плеча 33 см
=== РАЗМЕР 110 ===
длина 42 см
ширина 37 см
плечи 32,5 см
рукав от плеча 36 см
=== РАЗМЕР 120 ===
длина 45 см
ширина 38 см
плечи 33,5 см
рукав от плеча 38 см
ветровка
верх полиэстер
подклад сетка
видео-обзор
https://drive.google.com/file/d/1TbGOtwaTm_Q9zacjbtDmg8CqB3BJHRu0/view?usp=sharing",Ветровка для мальчика Stars синяя 1071,"100
 - 1 шт.      
110
 - 5 шт.      
120
 - 4 шт.",https://chebyrashka.com.ua/image/cache/catalog/aaa/vitrivka-dlya-hlopchika-stars-sinya-1071-8707-1051x1051.jpg,330грн.,На складе,Да
